"","country","year","role"
"17568","AUS",1964,"participant"
"17570","TUN",1964,"participant"
"17573","CUB",1964,"participant"
"17579","FRA",1964,"participant"
"17582","NED",1964,"participant"
"17585","GBR",1964,"participant"
"17598","NZL",1964,"participant"
"17600","TCH",1964,"participant"
"17605","BEL",1964,"participant"
"17613","TRI",1964,"participant"
"17635","FIN",1964,"participant"
"17772","SWE",1964,"participant"
"17790","MEX",1964,"participant"
"17791","URU",1964,"participant"
"17803","PHI",1964,"participant"
"17808","IRL",1964,"participant"
"17814","YUG",1964,"participant"
"17817","GHA",1964,"participant"
"17835","NGR",1964,"participant"
"17868","KEN",1964,"participant"
"17889","BRA",1964,"participant"
"17928","DEN",1964,"participant"
"18156","IND",1964,"participant"
"18171","PAK",1964,"participant"
"18195","ARG",1964,"participant"
"18258","ETH",1964,"participant"
"18425","BAH",1964,"participant"
"18544","EGY",1960,"participant"
"18545","JPN",1960,"participant"
"18546","HUN",1960,"participant"
"18547","URS",1960,"participant"
"18548","IRI",1960,"participant"
"18549","TUR",1960,"participant"
"18552","ROU",1960,"participant"
"18555","USA",1960,"participant"
"18557","TCH",1960,"participant"
"18558","EUA",1960,"participant"
"18559","ITA",1960,"both"
"18560","RSA",1960,"participant"
"18570","AUS",1960,"participant"
"18573","GBR",1960,"participant"
"18587","NED",1960,"participant"
"18588","BRA",1960,"participant"
"18605","FRA",1960,"participant"
"18638","FIN",1960,"participant"
"18640","POL",1960,"participant"
"18643","AUT",1960,"participant"
"18644","SUI",1960,"participant"
"18645","MEX",1960,"participant"
"18659","SWE",1960,"participant"
"18735","BWI",1960,"participant"
"18753","DEN",1960,"participant"
"18757","NZL",1960,"participant"
"18768","VEN",1960,"participant"
"18777","BUL",1960,"participant"
"18788","ARG",1960,"participant"
"18801","GHA",1960,"participant"
"18802","IRQ",1960,"participant"
"18804","SIN",1960,"participant"
"18807","YUG",1960,"participant"
"18819","PAK",1960,"participant"
"18853","BEL",1960,"participant"
"18919","TPE",1960,"participant"
"18935","GRE",1960,"participant"
"18959","CAN",1960,"participant"
"18996","NOR",1960,"participant"
"19117","ESP",1960,"participant"
"19144","IND",1960,"participant"
"19224","ETH",1960,"participant"
"19225","MAR",1960,"participant"
"19380","POR",1960,"participant"
