Solomon Islands,28.3,,58
Somalia,19.5,,
South Africa,25.4,175,69
Spain,27.1,177.4,73.3
Sri Lanka,27.2,171,61.4
Saint Vincent and the Grenadines,22,180.5,73.5
Sudan,23,175.8,61.7
Suriname,20.8,168.3,65
Swaziland,22,175.3,72.7
Sweden,28.4,177.9,73
Switzerland,26.7,179.3,73.9
Syria,24.8,178.2,80.9
Taiwan (Chinese Taipei),24.3,170.2,69.9
Tajikistan,26.9,175.1,79
Thailand,24,167.9,65.8
Togo,23.8,173.6,68.8
Tonga,24.7,183,79
Trinidad and Tobago,24.1,174.1,77.5
Tunisia,25.3,183.5,81.6
Turkey,25.7,174.8,71
Turkmenistan,23,174.7,72.6
Tuvalu,20.3,158,68
Uganda,23.8,170.2,58.8
Ukraine,26.1,177.1,73.6
United Arab Emirates,23.5,174.7,69.9
Tanzania,27.2,171.3,56.2
United States,27.1,179,75.9
Uruguay,23.6,179.6,74.6
Uzbekistan,25.4,175.3,76.1
Vanuatu,24.6,172,73
Venezuela,26.3,170.7,69.7
Vietnam,23.3,163.3,57.3
British Virgin Islands,24,,
Virgin Islands,23.7,179.6,73.4
Yemen,20,170.3,58
Zambia,22.6,176,75.2
Zimbabwe,27,174.5,69
