San Juan, Puerto Rico, Average Temperature
Units: Degrees Fahrenheit
Missing: -9999
Date,Value
201601,78.6
201602,78.9
201603,79.0
201604,80.2
201605,81.9
201606,83.8
201607,83.3
201608,83.7
201609,83.5
201610,83.8
201611,81.4
