1960,NA,25-Aug-60,11-Sep-60
1964,0.282,10-Oct-64,24-Oct-64
1968,NA,12-Oct-68,27-Oct-68
1972,1.009,26-Aug-72,10-Sep-72
1976,6.093,17-Jul-76,1-Aug-76
1980,6.331,19-Jul-80,3-Aug-80
1984,0.719,28-Jul-84,12-Sep-84
1988,NA,17-Sep-88,2-Oct-88
1992,9.687,25-Jul-92,9-Aug-92
1996,4.143,19-Jul-96,4-Aug-96
2000,5.026,15-Sep-00,1-Oct-00
2004,2.942,13-Aug-04,29-Aug-04
2008,6.810,8-Aug-08,24-Aug-08
2012,14.957,27-Jul-12,12-Aug-12
2016,4.557,5-Aug-16,21-Aug-16
